fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
36,4,135,24,18,0.9182389937106918,0.9178537511870846,0.9047619047619048,0.9382716049382716,0.8974358974358975,0.9212121212121213,0.9181224004753417,0.9840139284583729,76,70,8,5
37,4,135,24,18,0.9559748427672956,0.9558404558404558,0.9512195121951219,0.9629629629629629,0.9487179487179487,0.9570552147239264,0.9559469622006729,0.9664450775561886,78,74,4,3
38,4,136,24,17,0.925,0.9251445538365369,0.9367088607594937,0.9135802469135802,0.9367088607594937,0.925,0.925,0.9774964838255977,74,74,5,7
39,4,136,24,17,0.925,0.9249882794186592,0.9259259259259259,0.9259259259259259,0.9240506329113924,0.9259259259259259,0.9249882794186592,0.9604625722769182,75,73,6,6
40,4,136,24,17,0.925,0.9253008282544147,0.948051948051948,0.9012345679012346,0.9493670886075949,0.9240506329113924,0.9249882794186592,0.9521800281293953,73,75,4,8
41,5,135,24,18,0.9371069182389937,0.9373219373219372,0.9493670886075949,0.9259259259259259,0.9487179487179487,0.9375,0.9371044303797469,0.97119341563786,75,74,4,6
42,5,135,24,18,0.9119496855345912,0.9119183285849952,0.9135802469135802,0.9135802469135802,0.9102564102564102,0.9135802469135802,0.9119183285849952,0.9882874327318771,74,71,7,7
43,5,135,24,18,0.9245283018867925,0.9240265906932574,0.9058823529411765,0.9506172839506173,0.8974358974358975,0.927710843373494,0.9243817374762207,0.9547325102880658,77,70,8,4
44,5,135,24,18,0.9371069182389937,0.9373219373219372,0.9493670886075949,0.9259259259259259,0.9487179487179487,0.9375,0.9371044303797469,0.9708768597657487,75,74,4,6
45,5,135,24,18,0.9308176100628931,0.9309116809116809,0.9375,0.9259259259259259,0.9358974358974359,0.9316770186335404,0.9308066621830122,0.9637543526432415,75,73,5,6
46,5,135,24,18,0.9371069182389937,0.9375593542260209,0.961038961038961,0.9135802469135802,0.9615384615384616,0.9367088607594937,0.9371044303797469,0.9507755618866729,74,75,3,7
47,5,135,24,18,0.9371069182389937,0.9370845204178537,0.9382716049382716,0.9382716049382716,0.9358974358974359,0.9382716049382716,0.9370845204178537,0.9727761949984172,76,73,5,5
48,5,136,24,17,0.925,0.9249882794186592,0.9259259259259259,0.9259259259259259,0.9240506329113924,0.9259259259259259,0.9249882794186592,0.9304578840443819,75,73,6,6
49,5,136,24,17,0.91875,0.9188154399124864,0.925,0.9135802469135802,0.9240506329113924,0.9192546583850931,0.9187468260478925,0.9620253164556963,74,73,6,7
50,5,136,24,17,0.925,0.9251445538365369,0.9367088607594937,0.9135802469135802,0.9367088607594937,0.925,0.925,0.9554617909048289,74,74,5,7
