site,metric,contrast,left_roi,right_roi,estimate,bilateral_ci_low,bilateral_ci_high
NeuroIMAGE,specificity,12-39,12,39,-0.08181818181818179,-0.21818181818181814,0.045454545454545525
NeuroIMAGE,auc,18-39,18,39,0.11229946524064172,-0.02085561497326205,0.24866310160427818
NeuroIMAGE,balanced_accuracy,18-39,18,39,0.0393048128342246,-0.08368983957219234,0.15802807486631007
NeuroIMAGE,f1_macro,18-39,18,39,0.036980670178484165,-0.08740808299885026,0.15925506834102207
NeuroIMAGE,sensitivity,18-39,18,39,0.10588235294117648,-0.07058823529411762,0.2705882352941177
NeuroIMAGE,specificity,18-39,18,39,-0.027272727272727226,-0.19090909090909092,0.13636363636363635
NeuroIMAGE,auc,18-116,18,116,0.1005347593582887,-0.04439839572192527,0.24974598930481265
NeuroIMAGE,balanced_accuracy,18-116,18,116,0.07326203208556148,-0.03877005347593576,0.18689839572192513
NeuroIMAGE,f1_macro,18-116,18,116,0.07174587852654724,-0.042954628980142615,0.18828577703729135
NeuroIMAGE,sensitivity,18-116,18,116,0.16470588235294126,0.0,0.32941176470588235
NeuroIMAGE,specificity,18-116,18,116,-0.018181818181818188,-0.17272727272727273,0.12727272727272732
NeuroIMAGE,auc,39-116,39,116,-0.01176470588235301,-0.1160427807486632,0.09465240641711226
NeuroIMAGE,balanced_accuracy,39-116,39,116,0.03395721925133688,-0.05909759358288779,0.12967914438502676
NeuroIMAGE,f1_macro,39-116,39,116,0.03476520834806307,-0.0616303172467562,0.13332638322167906
NeuroIMAGE,sensitivity,39-116,39,116,0.058823529411764774,-0.058823529411764774,0.18823529411764695
NeuroIMAGE,specificity,39-116,39,116,0.009090909090909038,-0.12727272727272732,0.15454545454545449
OHSU,auc,12-18,12,18,0.02706766917293235,-0.06635808270676702,0.12199718045112783
OHSU,balanced_accuracy,12-18,12,18,0.025000000000000133,-0.041734022556390915,0.09192199248120296
OHSU,f1_macro,12-18,12,18,0.027493916235183935,-0.03948368852115518,0.09433786966213943
OHSU,sensitivity,12-18,12,18,0.050000000000000044,-0.04999999999999999,0.15714285714285708
OHSU,specificity,12-18,12,18,0.0,-0.08421052631578962,0.08947368421052626
OHSU,auc,12-39,12,39,0.047932330827067604,-0.041353383458646586,0.13383458646616536
OHSU,balanced_accuracy,12-39,12,39,0.06616541353383476,-0.013350563909774456,0.1456766917293233
OHSU,f1_macro,12-39,12,39,0.06610193648267348,-0.01352732627467264,0.14498713008773845
OHSU,sensitivity,12-39,12,39,0.04285714285714287,-0.07142857142857151,0.1642857142857143
OHSU,specificity,12-39,12,39,0.08947368421052637,-0.015789473684210575,0.19473684210526315
OHSU,auc,18-39,18,39,0.020864661654135253,-0.07876409774436094,0.12293233082706756
OHSU,balanced_accuracy,18-39,18,39,0.04116541353383463,-0.049445488721804536,0.13101503759398497
OHSU,f1_macro,18-39,18,39,0.03860802024748955,-0.05077307769052925,0.12689369755470634
OHSU,sensitivity,18-39,18,39,-0.007142857142857173,-0.14999999999999997,0.13571428571428568
OHSU,specificity,18-39,18,39,0.08947368421052637,-0.021052631578947323,0.19999999999999996
OHSU,auc,18-116,18,116,-0.03609022556390984,-0.12312030075187974,0.05375939849624056
OHSU,balanced_accuracy,18-116,18,116,-0.03082706766917298,-0.09699248120300752,0.03552631578947374
OHSU,f1_macro,18-116,18,116,-0.03119663834097075,-0.09544121447546128,0.03359547830314458
OHSU,sensitivity,18-116,18,116,-0.11428571428571432,-0.21428571428571436,-0.0071428571428571175
OHSU,specificity,18-116,18,116,0.05263157894736836,-0.026315789473684292,0.13157894736842102
OHSU,auc,39-116,39,116,-0.05695488721804509,-0.1460526315789472,0.03101503759398505
OHSU,balanced_accuracy,39-116,39,116,-0.07199248120300761,-0.1584586466165413,0.015977443609022538
OHSU,f1_macro,39-116,39,116,-0.0698046585884603,-0.1555103226282002,0.017204342126654962
OHSU,sensitivity,39-116,39,116,-0.10714285714285715,-0.24285714285714288,0.02857142857142858
OHSU,specificity,39-116,39,116,-0.03684210526315801,-0.14210526315789468,0.06842105263157894
