fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
17,2,51,9,6,0.9333333333333333,0.9257142857142857,0.9565217391304348,0.88,0.9714285714285714,0.9166666666666666,0.9305555555555556,0.9748571428571429,22,34,1,3
18,2,51,9,6,0.9,0.8971428571428571,0.88,0.88,0.9142857142857143,0.88,0.8971428571428571,0.9222857142857143,22,32,3,3
19,2,51,9,6,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9411764705882353,0.9230769230769231,0.9321266968325792,0.9728506787330317,24,32,2,2
20,2,51,9,6,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9411764705882353,0.9230769230769231,0.9321266968325792,0.9728506787330317,24,32,2,2
21,3,50,9,7,0.9491525423728814,0.9452941176470588,0.9583333333333334,0.92,0.9705882352941176,0.9387755102040817,0.9476486246672582,0.9576470588235294,23,33,1,2
22,3,50,9,7,0.9152542372881356,0.9105882352941177,0.9166666666666666,0.88,0.9411764705882353,0.8979591836734694,0.9127477077787637,0.9505882352941176,22,32,2,3
23,3,50,9,7,0.9491525423728814,0.9505882352941176,0.9230769230769231,0.96,0.9411764705882353,0.9411764705882353,0.948200175592625,0.9305882352941176,24,32,2,1
24,3,50,9,7,0.9491525423728814,0.9505882352941176,0.9230769230769231,0.96,0.9411764705882353,0.9411764705882353,0.948200175592625,0.9494117647058823,24,32,2,1
25,3,50,9,7,0.9322033898305084,0.9305882352941177,0.92,0.92,0.9411764705882353,0.92,0.9305882352941177,0.9764705882352942,23,32,2,2
26,3,50,9,7,0.9322033898305084,0.9252941176470588,0.9565217391304348,0.88,0.9705882352941176,0.9166666666666666,0.9297619047619048,0.9670588235294117,22,33,1,3
27,3,51,9,6,0.9333333333333333,0.9314285714285715,0.92,0.92,0.9428571428571428,0.92,0.9314285714285715,0.9885714285714285,23,33,2,2
28,3,51,9,6,0.9166666666666666,0.9114285714285715,0.9166666666666666,0.88,0.9428571428571428,0.8979591836734694,0.9137683242311009,0.9908571428571429,22,33,2,3
29,3,51,9,6,0.95,0.9423076923076923,1.0,0.8846153846153846,1.0,0.9387755102040817,0.9482609945386605,0.9773755656108597,23,34,0,3
30,3,51,9,6,0.9,0.8936651583710407,0.9166666666666666,0.8461538461538461,0.9411764705882353,0.88,0.8971428571428571,0.9049773755656109,22,32,2,4
31,4,50,9,7,0.9491525423728814,0.9452941176470588,0.9583333333333334,0.92,0.9705882352941176,0.9387755102040817,0.9476486246672582,0.9976470588235294,23,33,1,2
32,4,50,9,7,0.9322033898305084,0.9305882352941177,0.92,0.92,0.9411764705882353,0.92,0.9305882352941177,0.9835294117647059,23,32,2,2
33,4,50,9,7,0.9491525423728814,0.9452941176470588,0.9583333333333334,0.92,0.9705882352941176,0.9387755102040817,0.9476486246672582,0.9917647058823529,23,33,1,2
34,4,50,9,7,0.9491525423728814,0.9558823529411764,0.8928571428571429,1.0,0.9117647058823529,0.9433962264150944,0.9486211901306241,0.9670588235294117,25,31,3,0
35,4,50,9,7,0.9322033898305084,0.9252941176470588,0.9565217391304348,0.88,0.9705882352941176,0.9166666666666666,0.9297619047619048,0.9552941176470588,22,33,1,3
36,4,50,9,7,0.8983050847457628,0.8905882352941177,0.9130434782608695,0.84,0.9411764705882353,0.875,0.8946428571428571,0.8988235294117648,21,32,2,4
37,4,51,9,6,0.95,0.9514285714285714,0.9230769230769231,0.96,0.9428571428571428,0.9411764705882353,0.948849104859335,0.9622857142857142,24,33,2,1
38,4,51,9,6,0.9333333333333333,0.9257142857142857,0.9565217391304348,0.88,0.9714285714285714,0.9166666666666666,0.9305555555555556,0.9931428571428571,22,34,1,3
39,4,51,9,6,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9411764705882353,0.9230769230769231,0.9321266968325792,0.9920814479638009,24,32,2,2
40,4,51,9,6,0.95,0.9423076923076923,1.0,0.8846153846153846,1.0,0.9387755102040817,0.9482609945386605,0.9423076923076922,23,34,0,3
41,5,50,9,7,0.9152542372881356,0.9105882352941177,0.9166666666666666,0.88,0.9411764705882353,0.8979591836734694,0.9127477077787637,0.9094117647058825,22,32,2,3
42,5,50,9,7,0.9322033898305084,0.9305882352941177,0.92,0.92,0.9411764705882353,0.92,0.9305882352941177,0.9576470588235294,23,32,2,2
43,5,50,9,7,0.9322033898305084,0.9358823529411764,0.8888888888888888,0.96,0.9117647058823529,0.9230769230769231,0.9312354312354313,0.96,24,31,3,1
44,5,50,9,7,0.8983050847457628,0.8958823529411765,0.88,0.88,0.9117647058823529,0.88,0.8958823529411765,0.9070588235294118,22,31,3,3
