fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
19,2,140,25,18,0.8,0.7962229667986598,0.7428571428571429,0.7761194029850746,0.8163265306122449,0.7591240875912408,0.7940698158163457,0.8673469387755102,52,80,18,15
20,2,140,25,18,0.7878787878787878,0.7883795309168443,0.7162162162162162,0.7910447761194029,0.7857142857142857,0.75177304964539,0.7832939322301025,0.8630825464514164,53,77,21,14
21,3,139,25,19,0.774390243902439,0.7666975881261595,0.7164179104477612,0.7272727272727273,0.8061224489795918,0.7218045112781954,0.7660304607673029,0.8271490414347558,48,79,19,18
22,3,139,25,19,0.7682926829268293,0.7714904143475572,0.6842105263157895,0.7878787878787878,0.7551020408163265,0.7323943661971831,0.764046645464183,0.8736858379715523,52,74,24,14
23,3,139,25,19,0.774390243902439,0.7691713048855906,0.7101449275362319,0.7424242424242424,0.7959183673469388,0.725925925925926,0.7671080406831703,0.8542053184910328,49,78,20,17
24,3,140,25,18,0.8,0.8005050505050505,0.726027397260274,0.803030303030303,0.797979797979798,0.762589928057554,0.7949075294738032,0.8654729109274564,53,79,20,13
25,3,140,25,18,0.806060606060606,0.8084069448674993,0.7333333333333333,0.8208955223880597,0.7959183673469388,0.7746478873239436,0.8022175606832485,0.8920194943649101,55,78,20,12
26,3,140,25,18,0.8121212121212121,0.8111483399329882,0.75,0.8059701492537313,0.8163265306122449,0.7769784172661871,0.8073373761723606,0.895674687785562,54,80,18,13
27,3,140,25,18,0.8303030303030303,0.8406183368869936,0.7407407407407407,0.8955223880597015,0.7857142857142857,0.8108108108108109,0.8284823284823285,0.8752665245202559,60,77,21,7
28,3,140,25,18,0.8121212121212121,0.8040664026804751,0.7727272727272727,0.7611940298507462,0.8469387755102041,0.7669172932330827,0.804778443570856,0.8560767590618337,51,83,15,16
29,3,140,25,18,0.8363636363636363,0.8362777946999695,0.7777777777777778,0.835820895522388,0.8367346938775511,0.8057553956834532,0.8321970695694754,0.8769418215047213,56,82,16,11
30,3,140,25,18,0.8303030303030303,0.8288151081328055,0.7746478873239436,0.8208955223880597,0.8367346938775511,0.7971014492753623,0.8256340579710144,0.8780079195857448,55,82,16,12
31,4,139,25,19,0.8658536585365854,0.870439084724799,0.7972972972972973,0.8939393939393939,0.8469387755102041,0.8428571428571429,0.8629179331306991,0.9135745207173778,59,83,15,7
32,4,139,25,19,0.7987804878048781,0.7970006184291898,0.7323943661971831,0.7878787878787878,0.8061224489795918,0.7591240875912408,0.7931746092406466,0.8585343228200372,52,79,19,14
33,4,139,25,19,0.8170731707317073,0.8246753246753247,0.7307692307692307,0.8636363636363636,0.7857142857142857,0.7916666666666666,0.8143115942028986,0.8962585034013605,57,77,21,9
