fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
40,4,30,6,3,0.8888888888888888,0.88125,0.9285714285714286,0.8125,0.95,0.8666666666666667,0.8857142857142857,0.9812500000000001,13,19,1,3
41,5,29,6,4,0.9428571428571428,0.9375,1.0,0.875,1.0,0.9333333333333333,0.9416666666666667,1.0,14,19,0,2
42,5,29,6,4,0.9428571428571428,0.9424342105263157,0.9375,0.9375,0.9473684210526315,0.9375,0.9424342105263157,0.993421052631579,15,18,1,1
43,5,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9866666666666667,13,19,1,2
44,5,29,6,4,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,0.9933333333333334,12,20,0,3
45,5,29,6,4,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9404761904761905,1.0,13,20,0,2
46,5,29,6,4,0.8857142857142857,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.9,0.8666666666666667,0.8833333333333333,0.98,13,18,2,2
47,5,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9299999999999999,13,19,1,2
48,5,29,6,4,0.9428571428571428,0.9416666666666667,0.9333333333333333,0.9333333333333333,0.95,0.9333333333333333,0.9416666666666667,0.9966666666666666,14,19,1,1
49,5,29,6,4,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9404761904761905,0.9866666666666667,13,20,0,2
50,5,30,6,3,0.9444444444444444,0.95,0.8888888888888888,1.0,0.9,0.9411764705882353,0.9442724458204335,0.9906250000000001,16,18,2,0
